"","LV1","LV2","LV3","LV4","LV5","LV6","LV7","LV8","LV9","LV10","LV11","LV12","LV13","LV14","LV15","LV16","LV17","LV18","LV19","LV20","LV21","LV22","LV23","LV24","LV25"
"RASGRP2",0.27978515625,0.139404296875,0.06964111328125,0.0782470703125,0.00135707855224609,0.0183258056640625,0.04827880859375,0.00364112854003906,0.0071258544921875,0.000162601470947266,0.05487060546875,0.05426025390625,0.0300750732421875,0.04229736328125,0.09478759765625,0.0176849365234375,0.07403564453125,0.046478271484375,0.1358642578125,0.160400390625,0.000684261322021484,0.041778564453125,0.057861328125,0.032501220703125,0.000797271728515625
"RAB6A",0.1221923828125,0.1669921875,0.06951904296875,1.2814998626709e-05,0.05181884765625,0.0469970703125,0.06451416015625,0.0113906860351562,0.0941162109375,0.046112060546875,0.000275850296020508,0.0154876708984375,0.148193359375,5.12599945068359e-06,6.55651092529297e-07,6.99162483215332e-05,0.0968017578125,5.96046447753906e-07,2.98023223876953e-07,0.00518798828125,0.03131103515625,0.032989501953125,4.58955764770508e-06,6.15715980529785e-05,0.1163330078125
"ERP44",0.03515625,0.07867431640625,0.053070068359375,0.034332275390625,0.1724853515625,0.000341653823852539,0.0283050537109375,0.1693115234375,7.53998756408691e-05,0.02459716796875,0.00372505187988281,0.015777587890625,0.011260986328125,0.00161266326904297,0.000399112701416016,0.03369140625,0.0223541259765625,0.00192928314208984,0.000659942626953125,0.019989013671875,0.05914306640625,0.04608154296875,0.0132980346679688,0.00908660888671875,0.03338623046875
"MRPS6",0.1861572265625,0.175048828125,0.00291633605957031,0.0948486328125,0.0192413330078125,0.112060546875,0.1148681640625,0.034942626953125,0.12164306640625,0.07940673828125,7.56382942199707e-05,0.109375,0.06011962890625,0.000645637512207031,0.0728759765625,0.0204315185546875,0.0122299194335938,0.10748291015625,0.035003662109375,0.00177097320556641,0.046478271484375,0.012847900390625,0.1298828125,0.04730224609375,0.046661376953125
"MX1",0.00171661376953125,0.021240234375,0.00010073184967041,0.009002685546875,0.1900634765625,0.0195770263671875,0.0106430053710938,0.157470703125,0.0075531005859375,1.74641609191895e-05,0.00126361846923828,0.010589599609375,1.96695327758789e-06,3.63588333129883e-06,0.0125656127929688,2.98023223876953e-07,0.012481689453125,2.14576721191406e-06,0.000677585601806641,0.000654220581054688,9.75131988525391e-05,3.57627868652344e-07,8.64267349243164e-06,0.007232666015625,1.78813934326172e-07
"VCL",0.059112548828125,0.00571060180664062,0.046356201171875,2.98023223876953e-07,0.09356689453125,0.10125732421875,0.1187744140625,0.031646728515625,0.044708251953125,0.193115234375,0.07635498046875,3.57627868652344e-07,0.11505126953125,0.03765869140625,0.0802001953125,0.040283203125,0.11566162109375,0.030487060546875,0.000185012817382812,3.09944152832031e-06,0.0264434814453125,6.55651092529297e-07,5.96046447753906e-07,0.07958984375,0.0265045166015625
"STK38L",0.0472412109375,0.263427734375,0.1861572265625,0.0267333984375,0.044281005859375,0.000455141067504883,0.000328302383422852,0.07373046875,0.005096435546875,0.04986572265625,0.017913818359375,0.02081298828125,0.137451171875,0.00378990173339844,0.0057220458984375,0.1009521484375,0.08148193359375,0.00205612182617188,0.00553131103515625,0.07025146484375,0.05816650390625,0.0943603515625,0.00105476379394531,0.000678062438964844,0.11444091796875
"GNB2",0.0272979736328125,0.02020263671875,0.08990478515625,0.10565185546875,0.052154541015625,0.100341796875,0.034576416015625,0.162109375,0.044769287109375,0.1295166015625,0.0821533203125,0.00714111328125,0.07293701171875,0.08660888671875,0.199462890625,0.166259765625,0.0135345458984375,0.15380859375,0.10052490234375,0.0121231079101562,0.0709228515625,0.07049560546875,0.05523681640625,0.0712890625,0.000850677490234375
"SOS2",0.0582275390625,0.1234130859375,0.23828125,0.000937938690185547,0.032073974609375,2.50339508056641e-06,0.00329017639160156,0.0870361328125,0.03179931640625,0.061676025390625,0.08526611328125,0.0245513916015625,0.067138671875,0.0089263916015625,0.077392578125,0.1304931640625,0.09307861328125,0.00374031066894531,0.00033116340637207,0.0352783203125,0.0276641845703125,0.0211639404296875,8.22544097900391e-06,0.000105142593383789,0.033172607421875
"PSMC4",0.2125244140625,0.000133395195007324,0.000525474548339844,0.1041259765625,0.07708740234375,0.1478271484375,0.10516357421875,0.027557373046875,0.06817626953125,0.1368408203125,0.044281005859375,0.02740478515625,0.03314208984375,0.07232666015625,0.0283355712890625,0.0185089111328125,0.04840087890625,0.065673828125,0.0400390625,0.000230312347412109,0.06121826171875,0.013031005859375,0.07135009765625,0.08416748046875,0.022918701171875
