"","None_1","None_2","Basal_Normal","LumA_LumB","Basal"
"PAF1",0.0426868857055052,0.0439329158689754,0.0451296416744652,0.0459088071850775,0.0460774380417331
"ARSD",0.0161301828803194,0.0166739182021773,0.0170742781426796,0.0176654243618866,0.017209695830057
"ADIPOR2",0.0171344936924105,0.0175843927914873,0.0180657103822996,0.0187378279205315,0.0182298195002535
"PROM1",0.0105990648805577,0.0110402058756852,0.0112982799041368,0.0104622525562611,0.012201299441453
"CCDC124",0.0477665354719774,0.0491674757633451,0.0505877824562744,0.0506759305089033,0.0521593846641995
"BLTP2",0.02992289228872,0.0306611319994505,0.0315451256694847,0.032465109432382,0.0319635062438326
"TRAPPC6A",0.0220997459726267,0.0228187628853387,0.0233977384216223,0.0239945519306643,0.0237531906336285
"TSR3",0.0664316600929198,0.0686163069826971,0.0704249269163961,0.0715931781644043,0.07183535328755
"TEAD3",0.0495683919650201,0.0512344609093684,0.0525954874195424,0.0524725774470726,0.0542898562810964
"FMO3",0.00224726451235097,0.00234680149620145,0.00239932051115931,0.00214021291173792,0.00265033542861538
"MYLIP",0.0408472263866497,0.041956696966122,0.043135641250105,0.0447344021555213,0.0433592648356944
"PSMB1",0.0443345947265891,0.0456548845532837,0.046899995660153,0.0473823353423423,0.0481042510970281
"TFAP2B",0.0139996542748109,0.0145569428483188,0.0148443095552731,0.0154918994031743,0.0148864114947104
"SYPL1",0.0756252150177682,0.0786228787867725,0.080310676110925,0.0821685607406453,0.0813617046776269
"CYB561",0.0268630320877794,0.0270370030218869,0.028093577007739,0.0291395211343911,0.0284906429726173
"MGST1",0.0201184506422808,0.0206509760708403,0.0212483601865366,0.0214677689912108,0.0218018947274865
"NFIX",0.0164285136805122,0.0171297154087981,0.0175003616819004,0.01730041994044,0.0181122508694587
"ST3GAL1",0.0217127706952461,0.022331890105529,0.0229338412073562,0.0235536791739618,0.0232712746153814
"IL32",0.0169830018682407,0.0175795466742714,0.0181122177209551,0.0173981464467499,0.0189929718946495
"MAPK8IP2",0.0211648645289184,0.0216900996402868,0.0223330659303611,0.022872774535709,0.0227239789757668
"MED24",0.0114671886202559,0.0116949344106265,0.0120670934342467,0.0123301336320943,0.012317455301521
"SEC62",0.041054632639424,0.0422648047446889,0.0433807272553961,0.0447090289831295,0.0438268217474951
"RPS20",0.0343312721193938,0.0355251943659745,0.0364391688982244,0.0362726611475893,0.0376059612104895
"CSDE1",0.0792711142357049,0.0820501850848981,0.0840826961732223,0.0841642360085939,0.0864695301959172
"BAZ1B",0.0507703817892257,0.0522353803559395,0.0536827956786079,0.0540552709222909,0.0551490059612789
"RANBP9",0.0514151423036386,0.0525326212670683,0.0541611555058369,0.0550655742534112,0.0554250806966751
"METTL13",0.0728881032313291,0.0750296423931567,0.077046718205651,0.0778409042284957,0.0791637112916951
"UQCRC1",0.0947360398134747,0.0974000075729582,0.100129935154595,0.101503269780899,0.102565995427669
"CD9",0.0273591730900166,0.028283617193469,0.0289753992640598,0.0295388898764054,0.0295255016122646
"NCAPD2",0.0118022726081329,0.0121764497388488,0.0125059937523647,0.0122223207357208,0.0131193918736156
"SEMA3G",0.027520091900926,0.0288408024343916,0.0293789939473103,0.0302489384778689,0.0293776208098669
"CD4",0.0326889822062534,0.0337740609465168,0.0347943020861109,0.0345728566742997,0.0355476379457676
"LYPLA2",0.0627371071772758,0.0650139270684854,0.0665642539116686,0.0672059264089476,0.0682393808274944
"MRC2",0.00746514248858116,0.00770377347956694,0.00790704204500568,0.00800281707927484,0.00808210884857671
"TSPAN9",0.0676668365891675,0.0703735137341551,0.0718232541579269,0.0738672946876372,0.0726144801753429
"UTP18",0.0148415469110087,0.0151753535592059,0.0156446700427151,0.0159733527015956,0.0159415560329822
"PTBP1",0.117112083136997,0.120620799395196,0.123948403675576,0.125522017458868,0.126822155531886
"SYT7",0.020743466447624,0.0213557015646459,0.0219097165596368,0.0226248067876894,0.0221487951497991
"PLAUR",0.0213240214777499,0.0219998366971633,0.022611091968002,0.0223190140183709,0.0235124257838053
"ANLN",0.0230249413372851,0.0232965752296379,0.0242226913211307,0.0231473504485054,0.025878480779137
"DCN",0.0446221315427375,0.0467204623505,0.04752988686621,0.049264622377002,0.0474596922512525
"TYROBP",0.0209240190969505,0.0216177829624263,0.0222311825753758,0.0222919956358371,0.0227064322663502
"LDAF1",0.0358100166324115,0.0369310574809881,0.0379286471754706,0.0383796889387262,0.0387671331139235
"SEMA3B",0.00949169323747948,0.00986085158266771,0.0100592875689427,0.0105534737112885,0.0100524298377613
"LTF",0.0051878228722638,0.00542069559201436,0.00555041335108422,0.00557357947257384,0.00561481999672436
"ELOVL5",0.0228187382345222,0.0237884848586689,0.0242159834374268,0.025389346486266,0.0241547844397715
"UBR7",0.0509141911851249,0.0523381010887208,0.0537497227353387,0.0555558269530989,0.0543007287504824
"PSMC4",0.0307438141707577,0.0315237068688721,0.0324629578473363,0.0326317210412757,0.0334605370439879
"SLC25A39",0.0624019952674994,0.0640895298914297,0.0659387937357225,0.0666301452620745,0.0677306247411509
"MVP",0.0593384302478795,0.0614903704932543,0.0629441953997626,0.064719296009577,0.0635871341638059
"CLK1",0.0445865448875683,0.0463321736688653,0.0473921779326732,0.0485437822797972,0.0477562437887165
"HEBP1",0.0136425768198993,0.0139016098865569,0.0143365816944663,0.0150607337718168,0.014341210890485
"GPRC5A",0.0348043115962759,0.0352100471403495,0.036457728176869,0.0383834118868932,0.0365004645790031
"CAPN1",0.0257463828276495,0.0265372770461658,0.0272716634510776,0.0274711097939646,0.0279796720024899
"MDH1",0.0890278835913699,0.0913081982723113,0.0940725118344734,0.0932427514355742,0.0977987656156317
"ZMYND11",0.0483007816019841,0.0498726382067664,0.0511506175059173,0.0521658377830294,0.0520050255425416
"ATP2C1",0.037157139434995,0.0383038669509865,0.0393339636710802,0.039481543840951,0.0404775987333615
"WWTR1",0.0191466889852187,0.0199617819594223,0.0204026619594143,0.0196989343154588,0.0214059021378274
"ATP1A2",0.00313178235093764,0.00316560499274072,0.00328722218246407,0.00344239937539611,0.00327696063361641
"VSIG2",0.0126850075128453,0.0131286349546016,0.0134695190976876,0.0139187037335224,0.0134255687832042
"MARCO",0.00411624288271126,0.00425857426116411,0.00440161026353685,0.0040404804923802,0.00475336214788992
"CYP24A1",0.00173945874343745,0.00183526343128867,0.00185777104831996,0.00190313623129665,0.00187478265764779
"SYT13",0.0118387915572721,0.0122997671115538,0.0124971722671944,0.0134843262955949,0.0122928411375704
"SNAI2",0.0110180395433922,0.0114113066305436,0.0117122412324753,0.0116567017097586,0.012037275342766
"CD74",0.049516793060064,0.0513952017218119,0.0527835106696094,0.0525343613555041,0.0539585977639016
"NCDN",0.033279394812185,0.0342232072686722,0.035150662063251,0.0361804883915765,0.0356127675707241
"PLEKHB1",0.0112069890030584,0.0114911928767384,0.0118568116592956,0.0113100386689362,0.0126133376530237
"SERPINB1",0.0297354238940072,0.0307004472587513,0.0314975682192739,0.0323617174565303,0.0317967362294614
"FHL1",0.0133868189220201,0.0139553159333607,0.0143299633835997,0.0143153234550119,0.0145064384207939
"RTF2",0.0353026630701583,0.0363102428774402,0.0373244590505254,0.0379394263796155,0.0381064696840814
"NLRP2",0.00895884595254387,0.00932873854186386,0.00953130598968036,0.0094487024902542,0.00989004036462863
"RNF10",0.0870156411472532,0.0897410790964512,0.0921087179912898,0.0942331910707345,0.0935203863243044
"RNH1",0.0600905292587334,0.0621342882008524,0.0637223728809561,0.0648831235746385,0.0648150500539653
"RB1CC1",0.0466207564212984,0.0478806218944372,0.0492553408435086,0.0495538256867727,0.0507053394275191
"ALAS1",0.0723551917654697,0.0745172189934518,0.076623651068494,0.0769509649300568,0.0786507317775634
"BIRC3",0.0195605153274725,0.0203995078488558,0.0210334557708393,0.0197981234643241,0.0218646705523993
"STRAP",0.0252367151150535,0.0259570830494211,0.0266498158366229,0.0265236052002163,0.0276997251114925
"EHD2",0.0557475903674673,0.0581024380829879,0.0593370789773061,0.0606706417206718,0.0599308974972816
"CCDC28A",0.0438153459437608,0.0455518543675051,0.0465676601246175,0.0474188055051675,0.0472326154862148
"TYMP",0.0417907138848545,0.0429729625795438,0.0442689331539047,0.0440756769179501,0.0456931340926527
"TOMM34",0.0586075069711609,0.0602824130829877,0.061970423401354,0.0617662452800962,0.0641720643004485
"SEC63",0.0182104826131892,0.0187111227525502,0.01923643458229,0.0194137384038771,0.0197499918947039
"VIM",0.0438741612171202,0.0457279911967153,0.0467947460708855,0.045633176365499,0.048647627566518
"CD44",0.0158521884656272,0.0164372527463316,0.0168580226956278,0.0169136288794407,0.0172158962920712
"IFNGR1",0.0512215115150951,0.0529598994966647,0.0544680479721681,0.0539728580710938,0.0559741314963804
"VRK2",0.0126440724855402,0.013167086121194,0.0134332015190492,0.0136320587015083,0.0137243977586194
"TNFRSF1B",0.0417274324625528,0.0433311146594808,0.0447210503424204,0.0431864823764982,0.0459519528518679
"SNX1",0.0538558091954991,0.0561813386383324,0.0572598555685005,0.0591885851559492,0.0574549545048695
"BCLAF1",0.0942070777024604,0.0973077720922287,0.0997202629278265,0.101714332259442,0.101372725892638
"SLC39A9",0.0747649300284664,0.0768253912396555,0.0788113577577054,0.0827277306313133,0.0788729192580714
