"","LV1","LV2","LV3","LV4"
"ARID3A",0.486848486137178,0.485038627663603,0.489210353216142,0.495384483023719
"ATF1",0.486481783325687,0.484796740954452,0.488832338309547,0.495033490294651
"ATF2",0.486348943759606,0.484660070682927,0.488726304163121,0.494929340304872
"ATF3",0.484781668853587,0.483201757856785,0.487238191179132,0.493429696913691
"ATF4",0.486836323931385,0.485086066133488,0.489236967726641,0.495466580913479
"ATF5",0.485727152869901,0.484035351745956,0.488102071679586,0.494281126076161
"ATF6",0.486382506993954,0.484718073089064,0.488861836686832,0.495069675518169
"BACH1",0.486239769982875,0.484584705085734,0.488683467440422,0.494928865512775
"BATF",0.486009590142377,0.484309388408599,0.488313220651642,0.494599531296768
"BCL6",0.485893347058195,0.484191676130536,0.488325829977738,0.494550900490085
"BHLHE40",0.486127881010848,0.484399796426239,0.488546912325646,0.494686944651775
"CBFB",0.486615208537284,0.484909800800414,0.488988374862732,0.495223497484256
"CEBPA",0.487192484895655,0.485402745186139,0.48953251746014,0.495697589203402
"CEBPB",0.485323448408469,0.483701103319483,0.487710731071313,0.493980919675227
"CEBPD",0.486469361253568,0.484682090554813,0.488847382773606,0.495013308393051
"CEBPE",0.486363379972722,0.484644246014701,0.488780921544682,0.494965306627447
"CEBPZ",0.486475673846478,0.484743776531792,0.488868709508448,0.495125259387125
"CENPB",0.487150110564795,0.485446108959399,0.489647390694366,0.495800717440458
"CIC",0.486703486169694,0.484920977347825,0.489072622446246,0.495272683429665
"CREB3",0.487047096982643,0.485337766809075,0.489425935920195,0.495638954966219
"CREB5",0.486043099502524,0.484290954176967,0.488408388248602,0.494655808515726
"CTCF",0.486866460878778,0.485161483562586,0.489278747014506,0.495449572666528
"DBP",0.487102435257073,0.485286403745657,0.489489365809224,0.495542248179654
"DDIT3",0.486637171019322,0.484937337993389,0.489050318728865,0.495289252660888
"DNMT1",0.486985234762879,0.485252351018972,0.489367078625921,0.495597533302294
"EGR1",0.485059920725423,0.483353629111571,0.487448070064912,0.493652014379833
"ELF1",0.486379247821927,0.484656735523198,0.488725244630508,0.4949227372556
"ELF4",0.485982190126659,0.484130638465178,0.488460446445756,0.494567046755144
"ELK3",0.485733135039346,0.484157805562253,0.488128742066842,0.494403187456973
"ENO1",0.486933400309247,0.485285863348611,0.489412693747894,0.495612850622895
"EOMES",0.485799507274668,0.484112632608913,0.488208883285837,0.494457585154496
"EP300",0.486673522237016,0.484995301345901,0.489149725910273,0.495337659877595
"ERF",0.486970095575114,0.485227807069181,0.489409853422607,0.495598604632895
"ESRRA",0.486565731603721,0.484933652439763,0.488988998227992,0.49524062271412
"ETS1",0.48669391000609,0.484920564220232,0.489075999801992,0.495283983010625
"ETS2",0.486378887985137,0.484691843249054,0.488826795332655,0.495054519529417
"ETV6",0.484707160775424,0.483064927638405,0.487192469938785,0.493292698008426
"ETV7",0.484941904889739,0.483286746997289,0.487281708345303,0.493503397489841
"FLI1",0.487135502660133,0.485421014062756,0.48948609705268,0.495655990973072
"FOS",0.484803901695378,0.483173302601124,0.487181719597717,0.493438876241772
"FOSL2",0.486427682293159,0.484630704297445,0.488841558405203,0.495039946234413
"FOXO3",0.485172210223822,0.48353418354183,0.487602761690984,0.493818758086736
"FOXO4",0.485984945293153,0.48431061211512,0.488388018022127,0.494585452615454
"FUBP1",0.486509591729756,0.484809702686626,0.488892212588524,0.495149308111769
"GABPA",0.486506605788615,0.484799932619062,0.488936349990264,0.495185785636005
"GATA1",0.485988504298841,0.484321392816048,0.488372135004904,0.494632739173688
"GATA2",0.48629825301041,0.484520114309517,0.488644888245415,0.494822579295011
"GATA3",0.486808243916874,0.48504872446117,0.489186461367446,0.495305449249703
"GFI1",0.486044972476538,0.484295713927658,0.488397592728756,0.494603089185624
"GFI1B",0.485827992833686,0.484229209407813,0.488315755106799,0.494514783560773
"HBP1",0.486852383977107,0.485152250773408,0.489258847187811,0.495515352900171
"HES4",0.485144702181197,0.483515659349543,0.487558137144637,0.493815637634951
"HHEX",0.485531457748811,0.483854017634915,0.487929682015759,0.494143300816974
"HIF1A",0.485333627365556,0.483609745996862,0.487797826445114,0.494023106445154
"HLX",0.486320786823032,0.484577707033794,0.488776496544564,0.494923046104689
"HMG20B",0.487241294017445,0.48547718356724,0.489579290867751,0.495792147739202
"HOXB2",0.486229936103428,0.484510159390611,0.488609764535697,0.494784993157202
"HSF1",0.487419844227068,0.48560853928028,0.489755606728158,0.495957740427853
"IKZF1",0.487007373567826,0.485303824329108,0.48941489594336,0.495582782707175
"IRF1",0.485227017939299,0.483551885363198,0.487666288787131,0.493880602505199
"IRF2",0.484353226936808,0.482682313378059,0.486715627708039,0.492868575928768
"IRF3",0.486954060274913,0.485276041123487,0.489453794566018,0.495589870332121
"IRF5",0.484920972716881,0.483351816549443,0.487358574188057,0.493527240667993
"IRF7",0.483685102503507,0.482111035207431,0.48602341708007,0.492270207562434
"IRF8",0.487063015026848,0.485255601802857,0.48939988597677,0.495656214364756
"IRF9",0.485997685594923,0.484213598283475,0.488328372552064,0.494556879724403
"JUNB",0.485252739134656,0.483579350275343,0.487652827445381,0.493873471303065
"JUND",0.486135504212452,0.484420480685988,0.488543797294106,0.494832465507366
"KLF1",0.486511803644448,0.484748711647286,0.488884271589279,0.495061186067529
