"","LumA_1","Normal","Basal","LumB","LumA_2"
"SYT7",0.00127224979317528,0.00127704377244489,0.00110592541407971,0.00161254236404592,0.00175483015736565
"PLAUR",0.00153572037626518,0.00204159782609829,0.00225675633560254,0.00248022787460527,0.00238660105178479
"ANLN",0.00187291254060357,0.00241344506872796,0.00325775474702047,0.00410808496388107,0.0029738316046492
"DCN",0.00294886446034573,0.00665998407486593,0.00257140010240776,0.00443251257098442,0.00628824075309682
"TYROBP",0.00164727342242315,0.00216513935399336,0.0019059461577944,0.00208036123444206,0.00245271781256986
"LDAF1",0.00291661352055144,0.00398241028321838,0.00313543296534296,0.00420548196013856,0.00457799154178826
"SEMA3B",0.00101875336239351,0.000873378568032399,0.000722734499735385,0.000943981679835543,0.00120237316525352
"LTF",0.000450414623160871,0.000677010026456439,0.000431200444167432,0.000642654327897007,0.000766116130370816
"ELOVL5",0.00221404532758924,0.00247402529047115,0.00160336081194722,0.0027455099174553,0.00338623734197127
"UBR7",0.00517893026838396,0.00541262002863433,0.00463218405542573,0.00713506469192037,0.00778035451799917
"PSMC4",0.00298082310248105,0.0032707830622395,0.00348801692404388,0.00414388740338972,0.00418010308633215
"SLC25A39",0.00646864179104733,0.00657234008624884,0.0072053357420703,0.00807609073136199,0.0084022101292372
"MVP",0.00545212316803415,0.00579407004635325,0.00497576768608319,0.00622793156438652,0.00756416927725446
"CLK1",0.00494028970717337,0.00733558769454782,0.00423350824017894,0.00651214494168014,0.00800297305313843
"HEBP1",0.00216243032290054,0.00192372102752685,0.00178508181599948,0.00256145879156703,0.00287734351336509
"GPRC5A",0.00484948600427627,0.0038081462465821,0.00421348009471981,0.00650928614436595,0.00695686537255487
"CAPN1",0.00296042675146779,0.00349045461901579,0.0031833460101963,0.00400085927941781,0.00426810245051854
"MDH1",0.00958312284838679,0.0143466309343919,0.01138963790248,0.0149384676953836,0.0155069341895853
"ZMYND11",0.00365098355677222,0.00462687998519545,0.00347077360003545,0.00543921434602856,0.00580791986050531
"ATP2C1",0.00293493260728759,0.00397833678277759,0.00344507911855574,0.00501402219573595,0.00486305180752785
"WWTR1",0.00199312455978088,0.00399944363595875,0.00270152314183453,0.00373611665847098,0.00376725354810186
"ATP1A2",0.000455465923666089,0.00151859007598456,0.000395329942015576,0.000757652086346934,0.00112505055630436
"VSIG2",0.00200174437369958,0.00288679033959297,0.00158029886605388,0.00232894461437891,0.00306869612116031
"MARCO",0.000240793285506211,0.000777851942647915,0.000605548386411629,0.000575303097416021,0.000521589792925079
"CYP24A1",0.000238405589797255,0.000264730910342677,0.000211613668528425,0.00030996180568756,0.00033774368894929
"SYT13",0.00182605903411529,0.00108290795869281,0.00128981867826175,0.00214374998848688,0.00229789402232933
"SNAI2",0.000882654519074756,0.00171780701164257,0.00103156723699833,0.00139340883185147,0.00165552775321144
"CD74",0.00519083170558317,0.00693628625634664,0.00604536639187525,0.00714272794568676,0.00813838641037729
"NCDN",0.00502581963654347,0.00493749322517115,0.00470105525537976,0.00605963926007823,0.00665990851303975
"PLEKHB1",0.00128957463074329,0.00173803372285157,0.00175454046566048,0.00201869858378173,0.00176021135454153
"SERPINB1",0.00268582458006817,0.00320062344191801,0.00242340783512048,0.00350469817207957,0.00407028862919556
"FHL1",0.000583655881488337,0.00203454266564139,0.000562720690338505,0.000990256104989275,0.00146108326054055
"RTF2",0.00452666204804627,0.00531205345066061,0.00469480055743311,0.00618241909582762,0.00671007697958185
"NLRP2",0.00100518881020336,0.00116183044874243,0.0012544875919771,0.0015280846399224,0.00147070868265758
"RNF10",0.0082418255253612,0.00937105663646731,0.00783784579144225,0.0109068862988239,0.0122016470713576
"RNH1",0.00550953490743779,0.00665821439746873,0.00543041684647029,0.00646724939662145,0.0076372616963846
"RB1CC1",0.00539342555560928,0.00686108740288821,0.00581399924830606,0.00896807878188436,0.00875373597185099
"ALAS1",0.00710342166851513,0.00930456795322578,0.00788445871184874,0.0105090289704282,0.0110003424751916
"BIRC3",0.00260041316785697,0.00456059674787849,0.00349455556638415,0.00468362111368647,0.00471183843881798
"STRAP",0.00347352616474545,0.00432502986656918,0.00417535381646268,0.00555857005163636,0.0053099744022916
"EHD2",0.00262132930532727,0.00547950832023448,0.00235022275088756,0.00358705615105587,0.00498635526862563
"CCDC28A",0.00466379172058132,0.00615886550279794,0.00436636752617536,0.00613931104881218,0.0070655408578744
"TYMP",0.00384134910389926,0.00420398104141043,0.00478232366340822,0.00483584154619244,0.00508458595808587
"TOMM34",0.0071898298573495,0.00830025236295247,0.00860433839300827,0.0105444390001115,0.0103074498054698
"SEC63",0.00170687540699076,0.00226093027555105,0.00194281819770188,0.00280233751932851,0.00278625222052144
"VIM",0.00606536126553691,0.0134646667079466,0.00753930473132021,0.00960637101321197,0.0117134328974401
"CD44",0.00139776461901891,0.00178505835740051,0.00141269870328657,0.00208623112782165,0.00220813436862799
"IFNGR1",0.00529514020136731,0.00992657605358716,0.00614249608281193,0.00880753603734944,0.00989100437710367
"VRK2",0.0017177606045235,0.00192117062188155,0.0016775820063631,0.0026009021194749,0.00261176605031286
"TNFRSF1B",0.0058346279014112,0.0107343393587859,0.00705094504536347,0.00859757193584695,0.010229680511066
"SNX1",0.00845445909453325,0.0116739350165473,0.00726932744423819,0.011328182812324,0.0134787101142065
"BCLAF1",0.0121116611101235,0.01595036731802,0.011754755245771,0.0188322746290903,0.0199354910938333
"SLC39A9",0.0100459333575023,0.0101362852982556,0.00827598801679054,0.0135673664312928,0.0151033329434542
"IBSP",0.00020822175219134,0.000237368370010711,0.000242947766525725,0.000255774277950948,0.000304546166854908
"RABEP1",0.00588545983905405,0.00592116852583497,0.00409307121959019,0.00744375579108976,0.00872586765389317
"HMGB3",0.00379517368663016,0.00370605535768015,0.00489571379043876,0.00584745739332676,0.00530514454260915
"GRN",0.00482751673325423,0.00551816840915374,0.00523074841569708,0.00616047333893628,0.00678573759040339
"SARS1",0.00932030324094634,0.011460749555953,0.00955141960120401,0.0124738019043584,0.0136806908437234
"CHPF2",0.0102029706264345,0.0118620075724456,0.0110573973523359,0.0138480922463996,0.0148306478667341
"FUT8",0.0054594785557025,0.00484498185884869,0.00414300307992302,0.00687001861787773,0.00795865964729806
"GAB2",0.000800161844455237,0.00102631825097536,0.000803147417619109,0.00115919888301348,0.00123256199054934
"SLC4A7",0.00291149553026966,0.00350293617899421,0.00225069313356456,0.00417368330776061,0.00475260212542869
"MAP2K3",0.00569023921608439,0.00837594319156145,0.00685017416605743,0.00821953479549562,0.00875688271860821
"TMSB10",0.00669320126080753,0.00846951262428295,0.00958914088833496,0.00919437024244114,0.00928925583135532
"RNF19A",0.0073904483894752,0.00924714243017628,0.00798828482574005,0.0118195017688801,0.0118796830585918
"GABARAPL2",1.03213514965966,0.449121816248405,1.24076037580094,0.430215477404153,1.04201815161227
"MYOC",0.0488672903254321,0.0320862179171387,0.00155563824313966,0.0275955902504787,0.007460063390181
"FAM136A",0.013460037655196,0.094954142481785,2.04476100797384,1.02540209808637,0.0285175712587621
"VCL",0.0703797306623137,0.516557720010606,0.11499650176772,1.21273237963782,0.114172197354897
"ADSS2",0.888543965234508,0.0076602119772465,0.625889656203797,2.15950734206246,0.36319531488503
"TIMP2",0.126150462742011,0.86223003164604,0.390671517797867,0.895456008962562,1.26688603545968
"MYOM2",0.0111206827169412,0.0523976259688193,0.0368390679403029,0.000505321562034421,0.0429194389548072
"RPL26L1",1.24459601262575,0.00829851347577224,1.67444044945883,0.390322515594352,0.312105301561934
"NSUN2",0.16577116418583,0.101772815239731,1.42085030647685,1.54171999839272,0.231672982765904
"VCAN",0.0384058789687836,0.000653398194767901,0.0899161758164574,0.826636946657217,0.957360567239528
"CDH1",0.459650483374343,0.000213048459128926,0.343292601411283,1.23590285319509,0.406268854675186
"RAB27B",0.788247368522364,1.97325002202748e-05,8.35720940963345e-05,0.693295623110804,1.20364590575173
"PSMA4",0.0187478050934843,0.0173240950086554,1.36426413311274,0.664744605491484,0.399708397304682
"TNC",0.00520771984798549,0.131600834226291,0.216818253743248,0.170991590243263,0.109741436520423
"RIPOR3",0.192193065566042,0.00668459610901384,0.00456989173052575,0.0588188870290019,0.00462746894527166
"RETSAT",0.212339113095326,0.597156061989813,0.00616740905406949,0.0209104457260308,0.794874055328421
