"","Basal","none","LumA_Normal","Her2","LumB"
"ATP1A2",0.000924472878269439,0.000970403866009033,0.0010031829104546,0.00101956628930962,0.00100833493311836
"VSIG2",0.00315152760991892,0.0033203101812471,0.00344429560350547,0.00346262587440369,0.00340553180044456
"MARCO",0.000813198662422611,0.000688146101030985,0.000739105539685778,0.000736915815680192,0.000832334481834442
"CYP24A1",0.000418634584464933,0.000426539568380856,0.000441502553878248,0.000449488966584661,0.00045274307108919
"SYT13",0.00282005126744582,0.00301206136905439,0.00306625216772365,0.00320176889130857,0.00313372404585086
"SNAI2",0.001962287928331,0.00191540196412186,0.00201241495965579,0.00201646696179189,0.00207919160495526
"CD74",0.0109159769641411,0.0108372922856987,0.011269796231076,0.0114545885536416,0.0116826228376766
"NCDN",0.00857854112715499,0.0087689497021606,0.00905960674796998,0.00923464851281211,0.00926108280165772
"PLEKHB1",0.00276383497439407,0.00258911974577061,0.00272254545227633,0.00274567353861194,0.00291914756347072
"SERPINB1",0.0050328060196095,0.00518200648212505,0.00535284027288998,0.00545782343261964,0.00544984585004487
"FHL1",0.00370036385331059,0.00378900415632547,0.00395419190624099,0.00395047258025068,0.00395325661813028
"RTF2",0.00837544732404791,0.00845543260736532,0.0087207982361066,0.00898433745529567,0.00907623769798602
"NLRP2",0.00215185183189441,0.00210505373951505,0.00218804201198998,0.0022275617860369,0.00229866879621216
"RNF10",0.0155259362619424,0.0158743875694001,0.0163674062349801,0.0167872338527389,0.0168302391320785
"RNH1",0.0101752308783381,0.0103424342228713,0.0107168241236154,0.0108873474687568,0.0109555002030961
"RB1CC1",0.0109624555703372,0.0108901577440838,0.011278483037668,0.0115731886947867,0.0118378376158505
"ALAS1",0.0145915645937945,0.0144490995730874,0.0149785176423104,0.0153216009423649,0.0156669724644779
"BIRC3",0.00593519955836911,0.00566787797277385,0.00595189266194771,0.00597491418482617,0.00625179308744787
"STRAP",0.00695472684919771,0.00678154664759562,0.00703350609192467,0.00721712896820412,0.00745450347630584
"EHD2",0.010194528549948,0.0105229323712168,0.0109466114802921,0.0109978191461293,0.0109593107342001
"CCDC28A",0.00859994556919247,0.00877768168653246,0.00909310011574298,0.00922086971621756,0.00926304606410854
"TYMP",0.00813214421847818,0.00794055240310486,0.0082476887912458,0.0084292781899526,0.00868522252335236
"TOMM34",0.0144375905627651,0.0141388177592097,0.0146838078804826,0.015028882466603,0.0154950431553102
"SEC63",0.00362024208479522,0.00357915377453497,0.0036919529718228,0.00381748381008951,0.0039001194984637
"VIM",0.0122658072858298,0.0118679831346818,0.0124687465833842,0.0124855563787446,0.0129522094149355
"CD44",0.00290214633559514,0.00290202209596241,0.00301909192987938,0.00304969935309198,0.00310310994969365
"IFNGR1",0.0111579353134263,0.0109096299532925,0.0113727105953483,0.0115595261292245,0.0118816047388946
"VRK2",0.00320508938274429,0.00322126304792181,0.00332958109210123,0.00341042271625898,0.003461617036516
"TNFRSF1B",0.0117574197910244,0.0114700685978299,0.0120398738312804,0.0120905905834112,0.0124641848997702
"SNX1",0.0141157960975647,0.0146216950289475,0.0151318563891612,0.0153293804472045,0.0152606348023488
"BCLAF1",0.022834638566884,0.023119316510703,0.0238759678876592,0.0244814312675169,0.0246994490689935
