"","LV1","LV2","LV3","LV4"
"YY1",0.00676392016441299,0.00648400442475013,0.00695054769518613,0.00594872879408317
"ZBTB1",0.00475168677162008,0.00453455327579365,0.00487532137307731,0.00417653970649991
"ZBTB18",0.00514208852595708,0.00486418654762389,0.00527402093121733,0.00452569933849637
"ZBTB33",0.00649141689619915,0.00621728551294769,0.00667263011499602,0.00569797596769273
"ZBTB4",0.00648014224494205,0.00622206327590274,0.0066514867785622,0.00569691914080638
"ZBTB7A",0.00627783187248246,0.00605278948024915,0.00646308508779565,0.00551733095525236
"ZBTB7B",0.00539084403463255,0.00523266555012652,0.00557397387770085,0.00472157563319923
"ZNF32",0.00387440771573456,0.00370923067151629,0.00398133284944876,0.00339894177458974
"ZNF683",0.00270505646005774,0.00263261052857458,0.00278307901713275,0.0023672760438509
"FGR",0.299556987818157,0.623866403508239,0.532070825363434,0.348265538461523
"SLC4A1",0.248688549096202,0.183891316728883,0.0263469192650405,0.312646295819757
"CIAPIN1",0.693541439848373,0.362354578340186,0.895793579194845,0.43214437030225
"WDR54",0.612829832040699,0.489668942535942,0.75102683163247,0.226275466946189
"KMT2E",0.534057821199352,0.535931218452794,0.503146763571932,0.715169186206927
"ITGA2B",0.219552785721392,0.1374734971169,0.258891378564156,0.343773171962913
"GDE1",0.180471485428993,0.325172296167276,0.645287639762677,0.582453436400362
"SPATA20",0.53007375911295,0.530578903696336,0.221132053593661,1.06966280310637
"IFRD1",0.140162148558033,0.580000910680344,0.250074577712341,0.643934259221857
"PAF1",0.974555804219067,0.602832063372321,0.549744377943021,0.500974615358046
"CEACAM21",0.327795773574156,0.382877158426395,0.925729942012845,1.2495270408302
"PTBP1",0.118232638190738,0.49332320988657,0.906002338280276,0.995978956996833
"ALAS1",0.250477138679781,0.124039595172065,0.586272824596931,1.03916341829759
"PLEKHO1",0.413231296190159,0.588606528170191,0.358410829008574,0.378883262224769
"RABEP1",0.683286901155512,0.52103307957358,0.116259714461083,0.905118700064129
"AKR7A2",0.827374317404281,0.771189428464567,0.591843311170445,0.540834949517808
